Course Name,Address,City,Province,Postal Code,Green Fees (Weekday 18-hole),Green Fees (Weekend 18-hole),Email,Website,Notes,Latitude,Longitude
Innisfil Creek Golf Course,239 Reive Blvd,Cookstown,ON,L0L 1L0,Not found,Not found,info@innisfilcreekgolf.com,innisfilcreekgolf.com,18-hole; Phone: not listed,44.3000,-79.6500
National Pines Golf Club,8165 10 Sideroad,Innisfil,ON,L9S 4T3,Not found,Not found,Not found,nationalpines.ca,Private members course; Phone: (705) 431-7000,44.3232794,-79.6538148
The Nest Golf Club at Friday Harbour,1 Marina Way,Innisfil,ON,L9S 0M5,Not found,Not found,Not found,fridayharbour.com/golf-the-nest,18-hole resort course,44.3252571,-79.6624110
Angus Glen Golf Club (North Course),10080 Kennedy Road,Markham,ON,L6C 1N9,Not found,Not found,Not found,angusglen.com,World-class public championship,43.9020569,-79.3386868
Angus Glen Golf Club (South Course),10080 Kennedy Road,Markham,ON,L6C 1N9,Not found,Not found,Not found,angusglen.com,World-class public championship,43.9020569,-79.3386868
Cardinal Golf Club,2740 Davis Drive W,King,ON,L7B 0L3,Not found,Not found,Not found,cardinalgolfcomplex.com,Multiple 18-hole courses,44.0405399,-79.5691468
Copper Creek Golf Club,10651 Hwy 27,Kleinburg,ON,L0J 1C0,Not found,Not found,Not found,coppercreek.ca,Top public course in Canada,43.8586577,-79.6373950
Richmond Hill Golf Club,8905 Bathurst Street,Richmond Hill,ON,L4E 0B7,Not found,Not found,Not found,richmondhillgolf.com,"18-hole; Spring $95, In-season higher",43.8390480,-79.4550000
Bloomington Downs Golf Course,Not found,Richmond Hill,ON,L4E 3E6,Not found,Not found,info@bloomingtondowns.ca,bloomingtondowns.ca,18-hole; Phone: 905-773-1936,43.9647759,-79.4251044
Bathurst Glen Golf Course,Not found,Richmond Hill,ON,,Not found,Not found,Not found,bathurstglengolf.ca,"Public 18-hole, Ontario Provincial Gov.",43.9277562,-79.4715543
St. Andrew's Valley Golf Club,Not found,Aurora,ON,,Not found,Not found,Not found,standrewsvalley.com,30 min north of Toronto,43.9647759,-79.4251044
Bushwood Golf Club,Not found,Markham,ON,,Not found,Not found,Not found,bushwoodgolf.com,18-hole championship par 72,43.9451651,-79.2179728
Pickering Glen Golf Club,Not found,Pickering,ON,,Not found,Not found,Not found,pickeringglen.com,18-hole public,43.9672508,-79.0360449
Pickering Golf Club,Not found,Pickering,ON,,Not found,Not found,Not found,pickeringgolfclub.com,18-hole,43.9672508,-79.0360449
Royal Ashburn Golf Club,Not found,Whitby,ON,,Not found,Not found,Not found,royalashburngolfclub.com,18-hole public,43.9672508,-79.0360449
Deer Creek Golf Club,Not found,Ajax,ON,,Not found,Not found,Not found,mydeercreek.com,"18-hole public, Durham Region",43.9091394,-79.0247631
Harmony Creek Golf Centre,Not found,Oshawa,ON,,Not found,Not found,Not found,harmonycreekgolf.com,18-hole public,43.8891097,-78.8193516
Riverside Golf Club,Not found,Ajax,ON,,Not found,Not found,Not found,riversidegolfclub.ca,18-hole,43.9091394,-79.0247631
4 Seasons Country Club,Not found,Durham Region,ON,,Not found,Not found,Not found,4seasonscountryclub.ca,18-hole scenic course,43.9313625,-78.5548831
Niagara Falls Golf Club,6169 Garner Road,Niagara Falls,ON,L2E 6S4,Not found,Not found,Not found,niagarafallsgolf.com,Par 72 18-hole,43.0829762,-79.1553127
St. Catharines Golf and Country Club,70 Westchester Ave,St. Catharines,ON,L2R 3P4,Not found,Not found,info@stgcc.com,stgcc.com,Private club,43.1567109,-79.2376054
Sawmill Golf Course,Not found,Niagara,ON,,Not found,Not found,Not found,sawmillgolf.com,18 memorable holes,43.0829762,-79.1553127
Legends on the Niagara (Battlefield Course),Not found,Niagara Falls,ON,,Not found,Not found,Not found,niagaraparks.com/golf,Championship 18-hole; Niagara Parks,43.1289116,-79.0662540
Legends on the Niagara (Ussher's Creek Course),Not found,Niagara Falls,ON,,Not found,Not found,Not found,niagaraparks.com/golf,Championship 18-hole; Niagara Parks,43.1289116,-79.0662540
Grand Niagara Golf,Not found,Niagara Falls,ON,,Not found,Not found,Not found,,18-hole,43.0360796,-79.1309337
Thundering Waters Golf Club,6000 Marineland Parkway,Niagara Falls,ON,L2G 0E3,Not found,Not found,Not found,,18-hole,43.0608224,-79.0916211
Niagara National Golf & Country Club,Not found,Niagara Falls,ON,,Not found,Not found,clubinfo@niagaranational.ca,niagaranational.ca,18-hole; membership/tournament inquiries,43.1289116,-79.0662540
Kawartha Golf and Country Club,Not found,Peterborough,ON,,"$130.00 (before 3pm), $105.00 (after 3pm)","$130.00 (before 3pm), $105.00 (after 3pm)",Not found,kawarthagolf.ca,18-hole Stanley Thompson design,44.3314915,-78.3057714
Lindsay Golf & Country Club,Not found,Lindsay,ON,,Not found,Not found,Not found,lindsaygolf.ca,"18-hole championship, Kawartha Lakes",44.3383554,-78.7213848
Cardinal 18 Golf Club,Not found,Lindsay,ON,,Not found,Not found,Not found,cardinal18.com,18-hole championship,44.3383554,-78.7213848
Brantford Golf & Country Club,60 Ava Road,Brantford,ON,N3T 5H2,Members only,Members only,info@brantfordgolf-cc.com,brantfordgolfandcountryclub.com,Private club; Phone: 519-752-3731,43.1619315,-80.3037926
Walter Gretzky Municipal Golf Course,Not found,Brantford,ON,,Not found,Not found,Not found,brantford.ca,18-hole championship municipal,43.1619315,-80.3037926
Paris Grand Golf Club,150 Paris Links Road,Paris,ON,N3L 3E2,$40-$49,$50-$59,Not found,,18-hole semi-private,43.2081168,-80.3771096
Glencairn Golf Club,9807 Regional Road 25,Halton Hills,ON,L9T 2X7,Not found,Not found,Not found,glencairn.clublink.ca,ClubLink; Phone: 905-876-3666,43.5608885,-79.9421639
Royal Ontario Golf Club,Not found,Milton,ON,,Not found,Not found,Not found,,18-hole,43.5408787,-79.7972491
